Модель,mAP@0.5,mAP@0.5:0.95,Precision,Recall,Эпох обучено,Время обучения (мин)
YOLOv8s,0.571,0.399,0.65,0.475,35,33
RT-DETR-L,0.602,0.418,0.729,0.618,20,61
